,t,yposition,velocity,aceleration
48,24.0,36291.21375,-230.53500000000003,-9.809999999999945
49,24.5,36174.72,-235.44,-9.810000000000002
50,25.0,36055.77375,-240.345,-9.810000000000002
51,25.5,35934.375,-245.25,-9.810000000000002
52,26.0,35810.52375,-250.155,-9.810000000000002
53,26.5,35684.22,-255.06,-9.81000000000006
54,27.0,35555.46375,-259.96500000000003,-9.809999999999945
55,27.5,35424.255,-264.87,-9.81000000000006
56,28.0,35290.59375,-269.77500000000003,-9.809999999999945
57,28.5,35154.48,-274.68,-9.81000000000006
58,29.0,35015.91375,-279.58500000000004,-9.809999999999945
59,29.5,34874.895,-284.49,-9.81000000000006
60,30.0,34731.42375,-289.39500000000004,-9.809999999999945
61,30.5,34585.5,-294.3,-9.81000000000006
62,31.0,34437.12375,-299.20500000000004,-9.809999999999945
63,31.5,34286.295,-304.11,-9.81000000000006
64,32.0,34133.01375,-309.01500000000004,-9.809999999999945
65,32.5,33977.28,-313.92,-9.809999999999945
66,33.0,33819.09375,-318.825,-9.81000000000006
67,33.5,33658.455,-323.73,-9.809999999999945
68,34.0,33495.36375,-328.635,-9.81000000000006
69,34.5,33329.82,-333.54,-9.809999999999945
70,35.0,33161.823749999996,-338.445,-9.81000000000006
71,35.5,32991.375,-343.35,-9.809999999999945
72,36.0,32818.47375,-348.255,-9.81000000000006
73,36.5,32643.12,-353.16,-9.809999999999945
74,37.0,32465.31375,-358.065,-9.81000000000006
75,37.5,32285.055,-362.97,-9.809999999999945
76,38.0,32102.34375,-367.875,-9.81000000000006
77,38.5,31917.18,-372.78000000000003,-9.809999999999945
78,39.0,31729.56375,-377.685,-9.81000000000006
79,39.5,31539.495,-382.59000000000003,-9.809999999999945
80,40.0,31346.973749999997,-387.495,-9.81000000000006
81,40.5,31152.0,-392.40000000000003,-9.809999999999945
82,41.0,30954.57375,-397.305,-9.81000000000006
83,41.5,30754.695,-402.21000000000004,-9.809999999999945
84,42.0,30552.36375,-407.115,-9.81000000000006
85,42.5,30347.58,-412.02000000000004,-9.809999999999945
86,43.0,30140.34375,-416.925,-9.81000000000006
87,43.5,29930.655,-421.83000000000004,-9.809999999999945
88,44.0,29718.51375,-426.735,-9.81000000000006
89,44.5,29503.92,-431.64000000000004,-9.809999999999945
90,45.0,29286.87375,-436.545,-9.81000000000006
91,45.5,29067.375,-441.45000000000005,-9.809999999999945
92,46.0,28845.42375,-446.355,-9.81000000000006
93,46.5,28621.019999999997,-451.26000000000005,-9.809999999999945
94,47.0,28394.16375,-456.165,-9.81000000000006
95,47.5,28164.855,-461.07000000000005,-9.809999999999945
96,48.0,27933.09375,-465.975,-9.809999999999945
97,48.5,27698.879999999997,-470.88,-9.81000000000006
98,49.0,27462.21375,-475.785,-9.809999999999945
99,49.5,27223.095,-480.69,-9.81000000000006
100,50.0,26981.52375,-485.595,-9.809999999999945
101,50.5,26737.5,-490.5,-9.81000000000006
102,51.0,26491.02375,-495.40500000000003,-9.809999999999945
103,51.5,26242.095,-500.31,-9.81000000000006
104,52.0,25990.71375,-505.21500000000003,-9.809999999999945
105,52.5,25736.879999999997,-510.12,-9.809999999999945
106,53.0,25480.59375,-515.025,-9.810000000000173
107,53.5,25221.855,-519.9300000000001,-9.809999999999945
108,54.0,24960.66375,-524.835,-9.809999999999945
109,54.5,24697.019999999997,-529.74,-9.809999999999945
110,55.0,24430.92375,-534.645,-9.810000000000173
111,55.5,24162.375,-539.5500000000001,-9.809999999999945
112,56.0,23891.37375,-544.455,-9.809999999999945
113,56.5,23617.92,-549.36,-9.809999999999945
114,57.0,23342.01375,-554.265,-9.810000000000173
115,57.5,23063.655,-559.1700000000001,-9.809999999999945
116,58.0,22782.84375,-564.075,-9.809999999999945
117,58.5,22499.579999999998,-568.98,-9.809999999999945
118,59.0,22213.86375,-573.885,-9.810000000000173
119,59.5,21925.695,-578.7900000000001,-9.809999999999945
120,60.0,21635.07375,-583.695,-9.809999999999945
121,60.5,21342.0,-588.6,-9.809999999999945
122,61.0,21046.473749999997,-593.505,-9.810000000000173
123,61.5,20748.495,-598.4100000000001,-9.809999999999945
124,62.0,20448.063749999998,-603.315,-9.809999999999945
125,62.5,20145.18,-608.22,-9.809999999999945
126,63.0,19839.84375,-613.125,-9.810000000000173
127,63.5,19532.055,-618.0300000000001,-9.809999999999945
128,64.0,19221.813749999998,-622.9350000000001,-9.809999999999945
129,64.5,18909.12,-627.84,-9.809999999999945
130,65.0,18593.973749999997,-632.745,-9.809999999999945
131,65.5,18276.375,-637.65,-9.810000000000173
132,66.0,17956.32375,-642.5550000000001,-9.809999999999945
133,66.5,17633.82,-647.46,-9.809999999999945
134,67.0,17308.86375,-652.365,-9.809999999999945
